location,date,likes,retweets,text
"New York, USA",2020-05-16,0,0,To fucken late his an asshole https://t.co/j7p1qyq6Yw
"Ypsilanti /Ann Arbor, MI",2020-05-09,1,1,"Spirit of Detroit dons scrubs-colored shirt, white ribbon to support essential workers https://t.co/5r24aEDdbU via @crainsdetroit"
"Cupey, Puerto Rico",2020-05-07,200,61,Opinion: The pandemic shows why we need to treat housing as a right https://t.co/Tq4hofHf53
"cincinnati, Ohio",2020-05-18,3,3,"You can now view the highlights from John Molander 's discussion on Venti-Now at the P&amp;G alumni webinar on ""Stepping Up During the COVID Crisis"": https://t.co/ippKMSobyI via @YouTube #ForceForGood @ProctorGamble"
"Denver, CO",2020-05-01,7431,2926,States are now having to essentially smuggle tests into the US from countries with functioning public health systems. https://t.co/94Q8cCUSLd
"Florida, USA",2020-05-22,476,73,"@realDonaldTrump @FoxNews @CNN Coronavirus patients treated with Trump-touted hydroxychloroquine at higher risk of death, new study says https://t.co/AHEWZGQWFF"
"Detroit, MI",2020-05-13,155,30,Good kitties. https://t.co/dS5OZWgcId
"Chicago, IL",2020-05-28,0,0,"Even In Well-To-Do Glen Ellyn, Food Pantries See Surge In Demand As Pandemic Hammers Economy - CBS Chicago https://t.co/KImFHgocah via @GoogleNews"
"Brooklyn, NY",2020-05-15,15,10,"Keep going outside guys, keep getting the rona. i like getting paid to stay home"
"Seattle, WA",2020-05-06,19908,4549,A reply from the Najavo Nation on Irish donations to their COVID19 fund https://t.co/sLTo577WKU
"Missouri, USA",2020-05-20,33,12,"Normally we have a fish fry to commemorate the life of Arnel Monroe, Spanky to many of you. This year COVID-19 means we had to cancel. Please consider donating at https://t.co/P3RNrsatRS! #RIPSpanky https://t.co/PM8MwTZFzo"
"Ohio, USA",2020-05-29,541070,145387,donald trump literally called the coronavirus the “chinese virus” and called black people “THUGS” and y’all still have the audacity to call him not racist?? WAKE UP
"Cincinnati, OH",2020-05-06,2341,1671,"As the death toll from the President’s erratic #coronavirus response continues to mount, he and Republicans are doubling down on their chaotic plot to destroy the Affordable Care Act.

In other words, if Republicans have it their way, COVID-19 survivors could be denied coverage. https://t.co/6a4wdNv4pZ"
"Minneapolis, MN",2020-05-31,204214,58842,This country was infinity more prepared to go to war against its own people then defend its people from a pandemic.
"Plantation, FL",2020-05-28,1,2,"@canilor 13/ • Per Lorenzo Canizares @canilor- ""The numbers of those that their deaths have been caused by the coronavirus are more than the number of US troops killed in the Korean and Vietnam wars combined..."
"Los Angeles, CA",2020-05-27,138,72,"If you test positive for #COVID19, your local health department can help you identify and reach out to your friends, family, or others who might have been exposed to get testing information and health advice. 

Answer the call and help #SlowTheSpread! https://t.co/u6yeuHhUOt https://t.co/38HcZbBlJD"
"Chandler, AZ",2020-05-13,0,0,A glimmer of hope for CA. https://t.co/IrZmOocjEr
"Kansas City, MO",2020-05-29,3124,991,"Is the Mayor of Minneapolis serious telling rioters to ""wear masks and practice social distancing?"" He should also tell them to wear oven mitts so they don't burn their fingers while throwing bombs and Molotov cocktails!  What a tool!
https://t.co/kTde76WEFw"
"Cisco, TX",2020-05-30,239,66,"#Corruption

Mnangagwa's top bodyguard Valdano Brown is linked to Jaji Investments which got a contract to supply COVID-19 test kits without going through the tender process.

As expected, ZACC remains silent and does nothing!

We now need a revolution.

@ZACConline @matandamoyo"
"Maryland, USA",2020-05-11,474,104,WE HAVE 4% OF THE WORLD'S POPULATION AND 30% OF THE WORLD'S TOTAL DEATHS FROM COVID I DON'T GIVE A FUCK WHAT THE WHITE HOUSE PRINTS ON A SIGN
"Washington, DC",2020-05-31,6,3,"In a post-Covid recession, law firm innovation is no longer a matter of prestige, it's a matter of survival. https://t.co/wDTRfay2Vd"
"New Haven, CT",2020-05-04,1,0,"Thread ... #COVIDー19 cases &amp; deaths across the US are projected to soar in the coming months, esp in rural areas, nursing homes and meatpacking hubs. The impacts on these communities will be devastating &amp; they deserve to be protected. https://t.co/prsAD2nQdz"
"Prairieville, LA",2020-05-13,7166,1732,California’s gone from “flatten the curve” to “flatten the economy.” https://t.co/DU41zQU9t0
"Texas, USA",2020-05-12,2964,1128,"The House Democrats' new COVID relief bill includes funding to subsidize rents and mortgages, protect elections, bailout USPS, and help with students loans.

And the Republican plan is still to let you both get sick and go hungry."
"Texas, USA",2020-05-20,12,15,"Coronavirus cases as of Tuesday:

• 83,803 cases in California, including 3,406 deaths.

• 11,332 cases in the Bay Area, including 404 deaths.

• More than cases 1.5 million in the U.S., including 91,921 deaths.

https://t.co/miwpKYxT2L"
"Seattle, WA",2020-05-08,3063,454,Messi also should be blamed for Global warming and global pandemic. 👍 https://t.co/bcjkopr7U8
"San Bernardino, CA",2020-05-03,0,0,@DoclassesHw @alondraaa316 the hustle is real in these pandemic streets 😂😂
"Alfalfa, Oregon",2020-05-30,22655,6362,"After this week, it’s foolish to pretend that the Left believes in coronavirus lockdowns. The moment that Lefties and their media supporters saw people out for a cause they believed in, their alleged concerns about the virus disappeared."
"Texas, USA",2020-05-02,5492,1603,"This blows my mind:  65,000 Americans are dead in 6 weeks. And I see people on my timeline who are gonna sulk and stay home cuz their first choice lost -see ya in 2024? Even if kids in cages, overt racism, the environment,Supreme Court, etc. didn't get ya-dying Americans is okay?"
"Tennessee, USA",2020-05-29,6,0,"@brithume COVID pneumonia on a ventilator isn't ""nice."" Are you one of those awful humans who does not believe a thing until it affects you directly? No one lives long enough to learn EVERYTHING the hard way. Time to get smart."
"Missouri, USA",2020-05-02,1091,262,"""In recommending last week that the Navy...reinstate Captain Crozier to command, Admiral Gilday put the Navy before his own career. It was a move similar to Captain Crozier’s.""
You know, @EsperDoD, civilians could put country before career too.
https://t.co/SwJboHyzJi"
"New York, USA",2020-05-02,0,0,"I have seen this before only in zoo,  shame on CG &amp; UPG. https://t.co/tGuERC6Veb"
"Linden, MI",2020-05-13,0,5,Washtenaw County Federal Prison Inmate Dies From Coronavirus #SmartNews  https://t.co/0IOafrpw4a
"Virginia, USA",2020-05-04,20,3,Restaurants and barbershops leading the way in coronavirus black markets https://t.co/JIwIaENwnv
"Washington, DC",2020-05-13,90,23,"Food security is a priority in the @WorldBank’s #COVID19 response for South Asia. While it’s essential to focus on plentiful supply, especially for the most vulnerable, we must also ensure that food is nutritious. https://t.co/fMUGoM6zlF #SAFANSI https://t.co/LZdyyReKM5"
"Washington, DC",2020-05-23,4,3,I just emailed Congress demanding they pass the Health Care Emergency Guarantee Act—the legislation we need during #COVID #COVID19 #COVIDCrisis via @PDAmerica https://t.co/U9Xk9tcDct Write yours here: https://t.co/xxWkuLUkth
"Harlem, NY",2020-05-23,2,1,"""Crumbs for the Hungry but Windfalls for the Rich - Billions are going to zillionaires under the guise of pandemic relief"" https://t.co/CMChc1RRIe"
"Washington, DC",2020-05-29,1,0,@SliceVito @Frank_N_Meems @realDonaldTrump Nah. They just stormed the state capitol with assault rifles and demanded an end to stay at home orders.
"Virginia, USA",2020-05-24,261023,54807,The 2nd Wave of Covid-19 somewhere stretching with its outfit laying on the bed. Ready.
"San Carlos, CA",2020-05-17,4570,705,Amen. https://t.co/EB9B4t6nFs
"Seattle, WA",2020-05-24,0,0,"""They were not simply names on a list. They were us."" 💛 #covid #death #pandemic #grief #coronavirus https://t.co/R4uI6FVIpX"
"Overland Park, KS",2020-05-25,0,0,"@realDonaldTrump You have been teeing off as we approach the 100,000 mark of COVID-19 fatalities. How much exercise could you have been getting riding around in golf carts weekend?"
"Raleigh, NC",2020-05-02,78511,10880,I'm starting a rumor on the Breitbart chats that Covid-19 turns you gay. That should keep a lot of these idiots at home.
"Brooklyn, NY",2020-05-15,0,0,This 🤣🤣🤣🤣 I’m about to cave https://t.co/VaOr80uY6n
"North Carolina, USA",2020-05-07,0,0,"@TheBigFoxx @agraybee @Noahpinion @unemp1oyednerd You're right. He fired Dr in charge of agency working on a vaccine bc Dr pushed back against using hydroxychloroquine to treat COVID19. Which is basically what I said.

What leads you to believe he wouldn't fire head of FDA for failing to approve? https://t.co/b2e21c1rQp"
"Philadelphia, PA",2020-05-21,345,228,"""Rehoboth’s eight intensive care beds are full, and now it has to transfer all coronavirus patients with severe breathing problems away from the facility and the adjacent Gallup Indian Medical Center...""
https://t.co/Hd4PO0t4sG"
"Pittsburgh, PA",2020-05-20,0,0,"A friend I really love told me today that she doesn’t believe that Annie Glenn’s death was from COVID, but rather, “she was 100 years old and it was her time to go.” 😞 

Like...what are we doing here?? https://t.co/eLnwqtYpx9"
"Redwood City, CA",2020-05-18,133,63,"When I look at this map, I see all the yellow and orange spots, and note we've had ~2 months of state lockdowns and still have not developed any testing infrastructure at scale. No less #TestTraceIsolate. Flying blind, round 2. 
https://t.co/oOcxRjhuCE
@juliebosman @MitchKSmith https://t.co/aEm8xgFXUw"
"New York, NY",2020-05-23,0,0,"@BBC2 IN THIS HISTORIC LOCK DOWN WITH NO ""LIVE"" THEATRE, LET'S BRING ON TOMORROW AND BROADCAST 
FAME ""LIVE"" FROM LONDON'S WEST END ON BBC TWO. https://t.co/MB9eFzTRJ4
Streaming now on BroadwayHD.
David De Silva 
(Father Fame)"
"Maryland, USA",2020-05-05,76,65,Navajo Nation is behind only New York and New Jersey in rates of COVID-19 infection. What happened? https://t.co/PhrP4dVU3u
"Oakland, CA",2020-05-30,2,0,"Coronavirus, the murder of George Floyd, and the protests just make tweeting and talking about sports feel incredibly hollow."
"Fayetteville, AR",2020-05-04,12179,2470,"President @realDonaldTrump has led the greatest mobilization since WWII:

➡️75M N95 masks delivered

📈3x more than typically used in 1 year

➡️100K ventilators by the end of this year

📈3x more than produced in average year https://t.co/rH4sgKnCl2"
"Michigan, USA",2020-05-29,0,0,Kinda wanna stay home tmr
"Queens, NY",2020-05-03,0,0,"I’m upset, annoyed, irritated and losing it. This covid pause needs to end quickly because idk how long I can keep it together"
"Florida, USA",2020-05-06,7601,2612,Trump has zero issues watchin' death tolls soar in our urban areas because he know that represents Democratic voters.   Trump is weaponizin' the global pandemic as the ultimate voter suppression tool.
"Boston, MA",2020-05-27,346035,82774,Police fire tear gas into a peaceful protest of George Floyd’s murder but stood like the goddamn Queen’s Guard when white assholes w guns storm the state capitol protesting HAVING 2 WEAR A MASK IN A PANDEMIC. We live in 2 America’s &amp; if this doesn’t make it clear ur a dummy
"New Jersey, USA",2020-05-05,3362,444,"Together, through the @metathreads #WeGotThisSpartans shirt and the Relief &amp; Recovery REQ Pack, the Halo community's combined support raised over $430,000 for @GlobalGiving's Coronavirus Relief Fund. Thank you for your contributions, Spartans. https://t.co/6LdT9xQxPV"
"California, USA",2020-05-07,16726,4541,"Amplifying this. If you are in Georgia and are comfortable going outside with social distancing protocols, please safely support this family whose loved one was murdered in cold blood while jogging by gun-toting Trump supporting White supremacists. #JusticeForAhmaud https://t.co/XfGmo5KFb6"
"Las Vegas, NV",2020-05-07,1,0,Brought me happy tears. https://t.co/s5SXoV1YF1
"California, USA",2020-05-31,489462,105380,How come every cop is outfitted like an Avenger but health care professionals are out there fighting COVID wearing barrels on suspenders
"Boston, MA",2020-05-20,2,2,Warren + Gillibrand will join striking workers online today. https://t.co/t1ffhPCbw3 https://t.co/FXToDTu37n
"New Hampshire, USA",2020-05-14,17449,6832,"Not only does the Trump Administration want to take away health coverage for millions in the middle of a pandemic, but now they want to let people go hungry, too. Their cruelty truly knows no bounds. https://t.co/12JpuMOXEH"
"Tucson, AZ",2020-05-06,6,1,"@TucsonRomero @TucsonRomero @cityoftucson @dougducey With so many people out of work in #Tucson, unless you're corporate @Walmart, @Target, @amazon, @HomeDepot, @FrysFoodStores , etc... who will be paying the people of Tucson to stay home? @ArizonaDES not paying, not answering @whatsuptucson"
"New York, NY",2020-05-17,7099,2802,"#ObamaWasBetterAtEverything because he TRULY cared. When he passed the ACA he protected 135M Americans from ever being discriminated against for having a pre-existing condition.

Covid-19 is NOW a PEC &amp; Trump is trying to destroy the ACA in Supreme Court!

https://t.co/grEZdDKxgI"
"Texas, USA",2020-05-20,316541,106282,Update FedEx called and told me to take down this video and fired both of us Today .. I’m reposting this video because people like him doesn’t matter white or any race should never disrespect essential workers putting their lives in jeopardy especially with this covid-19 https://t.co/Fw0S5gNRso
"Columbia Falls, MT",2020-05-07,3579,578,"Long known for its liberal immigration views, the UN is citing the pandemic as a reason to release people who illegally enter a country.Helping those who need international protection will always be a key American principle, but a country isn’t a country if it can’t have borders"
"Garden City, KS",2020-05-18,1,0,"I have an arbitration on Wednesday, lockdown is officially over 😫"
"Miami, FL",2020-05-31,724,142,Biden leads Trump in Post-ABC poll as president’s coronavirus rating slips https://t.co/F06XCl5ASH
"Portland, OR",2020-05-02,4,1,"ICYMI, listen in to what public sector leaders from @SenRonWyden, @OregonGovBrown and @prosperportland shared on 4/27 https://t.co/rLTO1NTfgI"
"Greenwood, IN",2020-05-24,5,1,"Front Line Workers Funko Pop Figures... 👩🏻‍⚕️🧑🏼‍⚕️👨🏽‍⚕️👩🏾‍⚕️
#nurse #nurses #frontlineworkers #funkopop #pop #popfigures #thankyou #staysafe #stayhealthy #covid_19 #coronavirus #covid19 #stayhome #washyourhands #dontuchyourface #NurseLife https://t.co/6u5Q6KKp0i"
