location,likes,text,date
"Indiana, USA",104227,"RT @ZeeNews: . @Akshaykumar के बाद अब @ajaydevgn ने भी बनाया #Coronavirus पर गाना 'ठहर जा', देखें VIDEO

@MoHFW_INDIA

https://t.co/Fs5bN9i…",7/8/2019
"St Louis, MO",4417,"RT @NicoleB1um: Get Me...PPE... (2020)
Gel pen on paper, 21.5 cm x 27.9 cm

#GetMePPE https://t.co/jPIRHy4UHR",11/10/2015
"Bronx, NY",70420,RT @maggieNYT: Trump is blasting the oversight effort congress is setting up now to review the administration response to COVID. He says ev…,1/15/2011
"North Carolina, USA",6881,RT @SnoopDogg: The #COVID19 crisis has left millions unsure where their next meal will come from. @leodicaprio and @laurenepowell launched…,6/27/2009
"New York, USA",12415,"When @VP tests positive he will already have exposed innocent people (some not so innocent, perhaps). https://t.co/FmOBSpTkV5",12/14/2008
"Michigan, USA",81682,"RT @kylegriffin1: Katie Porter and Sara Nelson: Relief funds should be used to pay workers, not bail out corporations.

""What if workers ke…",1/10/2016
"Detroit, MI",176934,RT @BreeNewsome: Why is the pandemic being framed as a war instead of a public health crisis? It’s not a war. It’s a public health crisis t…,8/22/2011
"Atlanta, GA",7861,RT @StewardessChick: I need one for every month we on lockdown,2/19/2010
"Fort Worth, TX",16677,RT @IKE_Packers: “There’s real people hurting so I’m not gonna sit here in my privilege and tell people from my ivory tower to do this or d…,5/4/2013
"Washington, DC",2965,"Here’s Which D.C.-Area Restaurants Are Offering Takeout, Delivery, And Alcohol During The Coronavirus Pandemic READ… https://t.co/be1oRMY2tT",6/22/2009
"Louisville, KY",90715,RT @JoeNBC: The Greatest Generation deserves so much better. https://t.co/LFC3dtx7Kh,12/23/2009
"Austin, TX",581,Our Academy programs are structured to enable parents and students to consume our curriculum in a self-paced manner… https://t.co/J7kYPmT3f8,11/16/2013
"Yinzer, PA, USA",158287,"RT @Augustus709: trump fans who think liberals want trump to fail in dealing with the virus couldn't be more wrong. 

I DESPERATELY want hi…",8/6/2019
"San Francisco, CA",7735,"RT @choo_ek: I like these multi-state, unified partnerships forming around rational COVID response, led by governors. We should do this acr…",7/15/2016
"DeKalb, IL",61,Ensure all communities have access to clean water! #cleanwater #covid https://t.co/X2okPV6nMF,9/11/2009
"Greenup, KY",57205,"RT @trish_regan: In 1968, during another flu pandemic, “Americans were more resilient, less vulnerable to groupthink, and committed to goin…",11/12/2007
"Ohio, USA",82369,Biden vs. tRump...the choice is obvious #TrumpOwnEveryDeath https://t.co/Zhjwpaew29,2/7/2018
"Findlay, OH",46143,RT @RobertPLewis: So if Zerohedge was kicked off twit 2 weeks ago for saying the virus originated in a lab in Wuhan...and now everyone's co…,8/1/2018
"Dallas, TX",90364,"RT @tumbaburross: Los Españoles hicieron el #ElPeorGobiernoDeLaHistoria contra los izquierdistas que los gobiernan.

Allá se reían del coro…",9/13/2010
"Sugar Land, Texas",525,Just another day in paradise - tackling covid-19 every weekend😷😷😷😷 https://t.co/NfzYlUzitd,11/5/2011
"Spruce Pine, NC",62308,RT @BNODesk: BREAKING: More than 1 million confirmed cases of coronavirus worldwide https://t.co/ACTvkkQ0g2,9/15/2013
"Seattle, WA",282,"RT @MarketWatch: Bob Iger, Disney's executive chairman, says the coronavirus is the biggest challenge he's faced. 

He talked about what Di…",10/15/2010
"atlanta, georgia",31119,...he’s doing what he signed up to do...his job...why are you grateful...got that from an elected moron as he talke… https://t.co/hGN4eLYWa7,3/26/2009
"Los Angeles, CA",28113,"RT @GENmag: Iowa has 15th lowest population density for a state, but currently has the fastest rate of coronavirus spread in the country.…",12/18/2013
"Lagos,NIGERIA",52004,Coronavirus: UK Households Warned To Prepare For Electricity Blackout - https://t.co/9OXNzHoA3Z,5/30/2012
"Imperial, CA",3525,Both should be arrested; the demonstrator for violating the stay-at-home and the police department for attempted su… https://t.co/WTUKIfWVoK,9/17/2011
"Port Angeles, WA",9608,"RT @_SJPeace_: A Black doctor in Miami, A HERO, who has been testing the homeless for COVID-19 because ""the state is failing to protect the…",7/25/2008
"Chicago, IL",982,"As facilities are reopened, social distancing should be followed, people kept 6 feet apart, he said.",3/20/2009
"Oak Ridge, TN",383782,"RT @AriBerman: 2,373 deaths in NY now from coronavirus, up from 1,941 yesterday, Cuomo says. More than 400 people lost their lives in past…",9/16/2016
"North Carolina, USA",226557,RT @healthcareicare: https://t.co/CnNDNUn5UM,10/10/2009
"California, USA",803704,RT @CaslerNoel: We have almost lost as many Americans from Coronavirus as died in the war Trump dodged five times. Trump has done in six we…,8/16/2017
"Hew Holstein, WI",38389,"RT @DrDinD: .@sandzz77 your country doing well! 

https://t.co/ueYv8cXbbG",3/10/2011
"Baltimore, MD",9610,RT @wbaltv11: Baltimore Blast goalie creates at-home workouts for kids in quarantine https://t.co/dsgrLQRMFy,4/3/2009
"Yuma, AZ",395577,Plotting with Pelosi to give climate change refugees and illegal aliens rights to enter US at will —  and universal… https://t.co/pcwRRt4ghJ,3/5/2018
"Charlottesville, VA",313525,"RT @prairielaura: okay, but hear me out: ""There's no place like home"" was just sitting. right. there. https://t.co/aJLoS3temY",8/10/2008
"Encinitas, CA",266707,RT @paulachernoff11: My daughter was in a convenience store where there are markings on the floor 6 ft apart to indicate where people shoul…,8/19/2009
"Ohio, USA",88046,"RT @ddale8: Trump has said four times since last week that his administration inherited obsolete or flawed tests. 

This makes no sense wha…",11/25/2017
"Kansas, USA",4328,"@American_hero @cspanwj ""People may be sick with the virus for 1 to 14 days before developing symptoms. The most co… https://t.co/N0ycRy2vTb",2/12/2016
"Seattle, WA",186222,RT @_hunter_j3: “Opening up America Again” when the curve is just beginning to flatten is like stopping your prescribed antibiotics because…,12/29/2008
"Go Seahawks, Hawaii",60306,"RT @Maltomash: One of the many ads you will see in the coming months. Trump is making this easy....

This one by Nancy Pelosi is Gold

Retw…",9/2/2009
"Georgia, USA",80065,"RT @AliAbunimah: While American health workers beg for PPE, Trump just shipped a million masks to the Israeli army. https://t.co/2sVFLMteo9",7/24/2016
"Redwood City, CA",38316,"RT @briebriejoy: Thinking of the Biden supporters who think “sanitation worker” is an insult. 

We don’t need xenophobic TV ads. 

We need…",1/22/2017
"Houston, TX",17174,RT @__BigO__: How are u rude to workers...that are coming to work...during a pandemic???,9/2/2014
"Colonized Indigenous land, CA",45473,RT @GENbio: . @Merck to partner with @isbsci to identify targets for medicines and vaccines against #COVID19 by investigating and defining…,7/18/2018
"Connecticut, USA",11057,"RT @RollingStone: Adam Schlesinger, co-founder of Fountains of Wayne and Emmy-winning composer for 'Crazy Ex-Girlfriend,' has died at 52 fr…",11/4/2018
"Bergen County, NJ USA",76297,"RT @WHO: ""Yesterday marked one year since our colleague Dr Richard Mouzoko was killed while working on the #Ebola response in #DRC""-@DrTedr…",7/25/2008
"Wisconsin, USA",26663,RT @mkraju: Signed letter from Trump accompanies stimulus checks https://t.co/A6FjQwoC6e,7/26/2010
"southland, California",36210,RT @DrDenaGrayson: 🚨Government projections show that lifting #StayHome orders after only 30 days will cause dramatic spikes in #coronavirus…,4/20/2010
"Olympia, WA",25372,RT @atrupar: “Officials in one state are so worried about [feds swooping in to take supplies] that they’re considering dispatching local po…,6/3/2018
"Oakland, CA",57651,RT @yourauntemma: Bill Gates warns 'we're in big trouble' over coronavirus testing https://t.co/LyL4q5Xipj via @MailOnline,10/2/2010
"Washington, DC",5587,It's a big day in the fight for #BroadbandAccess! 1) Tune in NOW to see @senmarkey @senblumenthal @nydiavelazquez &amp;… https://t.co/uVRlPeZNI2,3/13/2008
"Sometimes WI, sometimes AR",402916,RT @rhonda_harbison: Incompetence is killing people.,9/30/2018
"Florida, USA",4834,RT @___pasdesoucis: me running through the church after Corona leave 😂😂😂 https://t.co/3BiO1OmwKo,11/23/2018
"California, USA",433263,"@RyanIckert @Atrios Yes, I would’ve thought the COVID  virus was going to be the big story.",4/26/2009
"Berkeley, CA",345,"RT @eclamoureux: 💡What is the role/responsibility/opportunity for the #MillennialGeneration in this moment in history?
Be part of #goodafte…",9/25/2009
"Detroit, Michigan",3630,"RT @glamorousmomsfn: March 30, 2020, was our first day running the Detroit Sewn's Michigan Mask Donation Center in #Pontiac &amp; we are still…",12/11/2010
"Texas, USA",228419,"RT @HillBeverlyhill: United States Coronavirus: 1,055,455 Cases and 61,112 Deaths - Worldometer https://t.co/OjfHX3OyK4",1/22/2013
"Las Vegas, NV",50880,"RT @CandeOchoaA: Amelia Valcarcel ante el covid: “Es la primera vez que el mundo entero se para, por tanto la solución también debe ser iné…",10/22/2014
"Maryland, USA",805475,"RT @catalannews: 📎 | First 12-tonne batch of medical supplies arrives in Barcelona from China

Mayor calls delivery ""good news"" at a diffic…",4/12/2016
"ISLA MUJERES,Q.ROO,MEXICO",16124,"Si es realidad, es una extraordinaria y maravillosa Noticia!!! https://t.co/6YukZ77vM2",10/21/2009
"Youngstown, OH",236,Can I get the coronavirus from my pet? https://t.co/iJFst1Pycw,4/15/2011
"Seattle, WA",5124,RT @Aeana: Good thread about social media and audiences https://t.co/858qjcZ9qA,10/25/2010
"Coamo, Puerto Rico",827,Dia del Planeta 🌎♻️💚 https://t.co/Q6btB44Og9,10/12/2015
"Cincinnati, Ohio",196544,RT @KT_So_It_Goes: here’s brit promoting a covid death truther,1/2/2008
"Arizona, USA",39848,"RT @JoeBiden: If I were president today, I would not be taking China's word when it comes to the coronavirus. American scientists and healt…",7/23/2019
"Dover, DE",45241,RT @thekillakay_: Wow i feel like I’ve seen this before,1/18/2018
"Houston, TX",23107,RT @CorneliaAmiri: #Webinars to Help #Authors During #COVID19? https://t.co/j2QfKvNtxu via @authorsguild,7/26/2008
"South Carolina, USA",1773,@FredTJoseph IVE LEFT 30+COMMENTS SINCE THIS STARTED AND I JUST DONT GET HELPED.BEEN TRYIN FOR HELP SINCE COVID19 S… https://t.co/nF6OFvPoG3,3/22/2020
"Michigan, USA",490,She was diagnosed with coronavirus and had to deliver her baby 26 weeks early while in a coma… https://t.co/Sjxvmh3SxO,9/5/2016
"Los Angeles, CA",59771,"RT @StevenBeschloss: He cut pandemic funding.
He ignored the warnings.
He called it a hoax.
He said it will disappear like a miracle.
His c…",3/3/2009
"Manhattan, NY",4823,"The curve is flattening, seems that COVID-19 is lowering its impact in the population. But, even if the country res… https://t.co/FzCL31OHlh",2/2/2017
"Washington, DC",29485,RT @ccroucher9: An incredible series of photos by Alyson McClaran in Denver. She writes “health care workers stand in the street in counter…,6/26/2013
"Tempe, Arizona",59190,We created the Coronavirus SARS-CoV-2 COVID-19 for EMS Providers Management Course so you could have updated inform… https://t.co/FnywJG7o2b,2/27/2012
"Texas, USA",69082,"RT @JoeBiden: The coronavirus is not Donald Trump's fault, but the slow and chaotic response to it is. He's the commander in chief — it's t…",4/5/2020
"New York, NY",380140,"RT @EmoryUniversity: TODAY: As #COVID19 devastates communities, Emory faculty/health care providers, @ScienceGallery will host a virtual ev…",8/18/2014
"Ohio, USA",17484,"While most of us are ranting about politics, @QueenofCr8tvty quietly shares photos, stories, and project ideas mean… https://t.co/m1Qe8iq4QS",3/24/2018
"Baltimore, MD",2529,"RT @pHirst16: We are going to re-open the beaches. 

#TrumpMeltdown #OMGTrump #COVIDIOT #PresserCOVID19 https://t.co/5K9nFSDjfT",5/17/2008
"Tijeras, New Mexico",14504,"RT @GovMurphy: We’ve lost more New Jerseyans to coronavirus than we lost in World War I, the Korean War, and the Vietnam War COMBINED.

Whe…",3/8/2017
"Missouri, USA",99263,"My village people don't want to sha allow me have peace in this life 
Me that went out to get felvin before this lo… https://t.co/cgJh68gUuM",3/23/2018
"Broadview Heights, OH",34163,"RT @RavenRaybay: Rip to those who died in 2020 due to COVID-19.

Don't skip the post without leaving a heart❤️",8/2/2018
"Las Vegas, NV",104360,RT @Mrs_Foo_Cough: Old McDonald’s: now a farm https://t.co/2hCIGAaEhE,7/28/2018
"Auburn, CA",2869,"This article is a compelling, encyclopedic indictment of the Trump administration's failure to govern and to protec… https://t.co/8mt8KNmv0e",2/23/2011
"Logan, UT",1941,A woman at a nursing home in Salt Lake City has died of the coronavirus. State and local health officials say the w… https://t.co/Fo3vja98qv,6/24/2009
"Missouri, USA",216246,"RT @AmericaFirstPAC: Liberal groups spent over $20 million to lie, divide the country, and turn a national emergency into another political…",3/16/2016
"San Diego, CA",2410,"SOLIDARITY with with our Seattle siblings @ArtWorkerUnion. Shame on @FryeArtMuseum.

#UnionBustingIsDisgusting https://t.co/MEPHpxmuN5",9/24/2019
"New Orleans, LA",5920,😔 my phone is off .... Im so ready for this Coronavirus to go,7/8/2009
"Raleigh, NC",7753,"@stphnmaher Let’s not kid ourselves. WHO will get their money...from the US.

Perhaps they needed a kick in the ass… https://t.co/9B7VW5D6Yz",3/9/2016
"Cincinnati, OH",419,RT @Jack_Septic_Eye: Coronavirus fundraiser plan is to have as many people all going live or making videos talking about it all on the same…,2/21/2020
"Bay Area, CA",11455,RT @suzie_ceez: YAAAALLLL my bro &amp; SIL was supposed to get married 5/1/20 but Covid... look what my SIL posted💀🤣🤣🤣 https://t.co/6BGcOAOYnV,1/11/2013
"Brooklyn, NY",10773,Did @jimmykimmel not get the blue suit memo? #TogetherAtHome https://t.co/pERLU45A7Y,2/17/2009
"New York, NY",5994,RT @BKLYNFatBaddie: Babyface is such a shady Uncle! LMAO...my mans said im here by myself...you know....social distancing. #Verzuz #TeddyRi…,3/11/2009
"North Carolina, USA",287040,"RT @politicalham: So long, Dr. Fauci, we expect your replacement will be @realdonaldtrump's butler.",1/20/2011
"Saint Paul, MN",178861,"RT @ChrisHrapsky: MN Dept. of Health just confirmed that 11 residents and a ""majority"" of staff and administrators at Meridian Manor assist…",1/30/2011
"Pittsburgh, PA",151902,"RT @GaryRayBetz: ""Pastor, who decried coronavirus 'hysteria' as a politically motivated ploy to harm President Trump, dies from coronavirus…",8/2/2017
"Alameda, CA",50975,RT @HillaryWarnedUs: There were more Milwaukee voters in this year's spring election than in last year's. In 2019 there were 180 polling lo…,4/22/2017
"Massachusetts, USA",31081,"RT @TravelingUS: If the army gave them this report Feb. 3rd and they knew it would spread at the same rate throughout the military, why don…",3/7/2009
"Fort Valley, GA",13611,"RT @1010WINS: #BREAKING: De Blasio says social-distancing restrictions likely in place through April, much of May #coronavirus https://t.co…",4/18/2016
"Redwood City, California",5961,"@adamf707 Due to recent changes related to COVID-19 our warranty facilities will be temporarily closed. However, wh… https://t.co/tTW9NtmGYa",9/16/2012
"New York, NY",101,The Foolish GOP Proposal to Open China to American Lawsuits over COVID-19 - my @NRO column: https://t.co/k8A1Pc8pLl,4/8/2010
"Austin, Texas",141754,Or maybe she was going to blow the whistle about what is really going on at the hospital. It's amazing how people a… https://t.co/9rQSn1b1ox,10/8/2009
"Iowa, USA",167305,"RT @JoyAnnReid: It's just unreal, except it is real. All of this death and a president pitching ""bleach and UV light miracle cures... We'll…",10/4/2015
"Alvin, TX",1232,"RT @NYGovCuomo: I received this letter from a farmer in northeast Kansas. His wife is ill and he is aging. 

He sent me 1 of 5 N95 masks he…",10/1/2019
"Lincoln, NE",677989,"RT @sable227: The Queen is an inspiration to everyone during the Pandemic.  This is really beautiful. From the USA, I say “Thank you”.",8/26/2014
"New York, NY",168263,@CentzCmon @tchyntia @realDonaldTrump https://t.co/T94p4sqDkn,2/3/2018
"Oregon, USA",3123,if corona virus was a person it would be carole baskin,12/5/2017
"Maryland, USA",19,We thank all nurses for standing up against COVID-19 during this time. Sign our card to thank your local nurse:  https://t.co/N9WUnpNKo7,6/12/2015
"Nashville, TN",35560,RT @EconTalker: Tragedy. A fundamental lack of understanding of how an economy functions.,9/22/2008
"Dallas, TX",75043,RT @godliljokeyjoke: AYE AYE FOR 19.95 U CAN RENT THIS MOTHERFUCKER https://t.co/kWYO3dVQBP,5/21/2014
"Houston, TX",65482,"RT @houstonpolice: While ensuring Memorial Park was secure, Asst. Chief @SatterwhiteLJ provided a police escort for these ducklings trying…",10/25/2015
"Benton, LA",128,"RT @KamVTV: Current Coronavirus survival rate figures for the United States = 98.54%

How about we promote that instead of fear!?",11/1/2015
"Colorado, USA",13744,Wow y’all are goin to hell 😂 https://t.co/vgpJIVvVWM,3/10/2011
"Lakeland, FL",1817,"Thank You, Essential Workers!
We want to help recognize the people keeping our Communities going amid the coronavir… https://t.co/ciVYcHL9lr",4/1/2011
"Phoenix, USA",45642,"RT @ericgarland: I think we all do what we can, whether it's to wear masks and stay home, or take care of our neighbors or fight crime or r…",3/21/2018
"Bellingham, WA",58547,RT @funder: Trump’s letting CEOs speak so they can praise him. They’re all applauding him. One by one. This is sickening. This is corruptio…,3/19/2009
"Santa Fe, NM",6443,Prayers to the Navajo Nation! https://t.co/khvWpe6P97,3/27/2012
"Buffalo, NY",114,"As we pray for those who are hospitalized due to covid-19, those recovering and those who have passed away. Put als… https://t.co/sLKQrgvIza",3/28/2016
"Cleveland, TN",11082,"Thanks for the Prayers 🙏🏻 

Please pray for all our First Responders who are actively serving those in danger in… https://t.co/ZbKq1Mb5hd",2/13/2009
"Atlanta, GA",8499,@Dreco718 @yungneenrod Oh wait you can’t bc that’s not practicing social distancing 😂,9/16/2013
"Kentucky, USA",94154,"RT @taseenb: Almost all armed groups in the world have declared a cease fire, including terrorist groups, except the US that intensified it…",3/30/2009
"Florida, USA",35787,RT @RealJamesWoods: Name a single thing a Democrat is doing to help in the fight against the #WuhanCoronaVirus.,1/17/2019
"Fountain Hills, AZ",9664,RT @DonaldJTrumpJr: Yikes.,10/8/2016
"Newburgh, NY",2212,"@DontAmericans @hugecapet @awake247 @RepChipRoy @EWErickson @WSJ Don't know too many obese 78 yos with copd, other… https://t.co/Agc4RMF3Px",11/13/2014
"(314) STL, Missouri, USA",20994,"RT @democracynow: Fiona Apple on releasing her album during a pandemic: ""I have heard that it’s actually making people feel free and happy,…",4/20/2020
"Orange County, CA",49050,"RT @maddow: “Roughly 280 million masks in warehouses around the U.S. were purchased by foreign buyers on Monday alone, according to Forbes.…",12/20/2008
"Portland, OR",986639,RT @RepDebHaaland: Today’s update comes with my grandpa looking over my shoulder. We had a productive day tossing around ideas to help stud…,3/9/2016
"Minnesota, USA",47173,"RT @BryanBlessey: So dumb. This seems like a parody, expect it’s real and going to get people killed. Shut down the #floridabeaches",4/8/2018
"Kansas City, MO",40000,RT @B52Malmet: When surely there is a Nuremberg-like trial of Trump and his complicit enablers trying them for crimes against humanity for…,9/13/2018
"Malibu, California USA",520,@2eKamertweets @jaapvandistel @MinPres @MaximaKoningin_ Before enterig the WH #pressroom all are temp tested(forhea… https://t.co/hVnWPVuBVY,11/28/2011
"Salt Lake City, UT",39472,"RT @rob_sheridan: I don't have a SoundCloud, but if you enjoyed this then you might also enjoy these posters I made, free to download/share…",3/2/2008
"Bay Area, CA",195452,"If you bank somewhere that does this, move your money somewhere else. (That’s the sharp end of what the regulators… https://t.co/FgZSVNm7FF",12/15/2010
"Philadelphia, PA",24571,Philly baby!!! https://t.co/FvfnUuBZki,1/15/2017
"Atlanta, GA",277167,RT @ReaganGomez: Nia DaCosta directed this. We already don’t have enough BW directors but the numbers are nonexistent in Horror. This woman…,5/5/2009
"Ocean Shores, WA",633,This! https://t.co/YS49T3hm6s,9/3/2011
"Chicago, IL",43666,LESLIE KNOPE ALWAYS SAVES THE DAY 🙌 @parksandrecnbc https://t.co/recAT8JLPm,11/12/2015
", USA",126852,"RT @NISMO_JP: 【#ニスモ時間  Vol.15】
今日は、1994年9月11日にスポーツランドSUGOで行われた、JGTC第４戦の「ユニシアジェックススカイライン」です。
決勝では３位表彰台を獲得しました。
https://t.co/KoxeIcJbNk
 #ニスモ…",12/26/2011
"St Louis, MO",7739,RT @HawkeyeFootball: Coach @LeVarWoods shares his routine while social distancing | #Sidelined https://t.co/nj8QGm7V0C,5/25/2012
"St. Louis, MO",1293,RT @MarkYoungTruth: So you are claiming we were prepared under the O’Biden/Bama administration? https://t.co/or7Ld3kSyI,9/16/2013
"Bradenton, FL",11164,Son capaces de votarlo mejor habiendo tanto pobre con hambre @MauricioRLTV @relymp @Paul_Emilio @Chaveztoon https://t.co/GFg4MnvPJi,12/18/2017
"Lincoln, NE",677989,"RT @hjellebrian1: 7000 Americans now dead from COVID.
Rising exponentially. 

Wait til it gets to the red states, for REAL.

They've been b…",8/26/2014
"San Juan, Puerto Rico",6164,"En una era y momento donde la mayoría de las personas acceden desde los móviles, esta importante herramienta no es… https://t.co/3YdQPFLZZo",2/21/2009
"Florida, USA",11723,Anything for a buck including our country. https://t.co/wMfSPecWlr,10/4/2017
"Katy,Texas,USA",144590,"RT @Savage_Author: Spain's #Coronavirus death toll has fallen because they have taken extraordinary measures to flatten the curve. 

Americ…",6/12/2010
"Brentwood, Tennessee",230032,"RT @GavinNewsom: Workers in the food sector are the unsung heroes of this unprecedented time.

I signed an Executive Order that will increa…",4/14/2009
"Dover, DE",553054,"RT @yashar: Important: In his executive order, Governor @RonDeSantisFL has added the following to the ""essential activities"" list: 

""Atten…",8/2/2010
"Hawaiian Beaches, HI",25539,RT @kikopangilinan: Huling araw ng Abril at mahigit 40 araw na tayong nasa ilalim ng quarantine. Kailangang holistic o big picture ang pagt…,6/16/2015
"LA, CA. ",30953,RT @ifindkarma: @NoahShachtman @MollyJongFast @attackerman @WillBredderman Coronavirus and #WhereAreTheTests are twin distractions in Presi…,10/11/2017
"Massachusetts, USA",473746,"RT @USA_Polling: Basic diagram showing how Covid19, despite being marginally more infectious than the flu, can infect many more people afte…",8/23/2014
"Greer, SC",154891,RT @GreenvilleCoEM: April 6 update on #COVID19 in South Carolina includes 18 new cases in Greenville County for a county total of 204.,6/12/2010
"Saratoga Springs, NY",22738,"RT @EricLiptonNYT: As part of our reporting, The NYT obtained hundreds of emails among a group of the top pandemic experts in the US--docto…",10/9/2018
"Palatine, IL",2665,RT @jack: I’m moving $1B of my Square equity (~28% of my wealth) to #startsmall LLC to fund global COVID-19 relief. After we disarm this pa…,2/21/2009
"Corpitos,TX",7612,RT @usareurcsm: Thanks to everyone who works hard to ensure our #soldiers are fed during #COVID19. @USArmyEurope @US_EUCOM @USArmy  #Strong…,9/26/2017
"Spokane, WA",31083,"“The most important thing you can do,” she said, “is make the commitment to take care of yourself. No one else will… https://t.co/OsJtiTNI8N",10/22/2016
"Manhattan, NY",1094,"In the case of a double edged sword, &amp; antibodies &amp; coronavirus, the same way down is the same way up, the same flu… https://t.co/WU99ZkSqyt",5/8/2018
"Oklahoma, USA",3479,"@maydaymindy9 stay home, has nothing to do with your mom.",6/4/2012
"California, USA",85359,"RT @thedailybeast: A nurse at a leading New York hospital’s ICU tells @TimTeeman about the challenge, fear, trauma, and total commitment he…",11/1/2018
"Woodbridge, New Jersey",39019,Nine pages of obituaries in 1 day. Here’s how our writers are chronicling the loss ⁦@njdotcom⁩ #journalists #NJ  https://t.co/60Byh3dmtv,4/3/2009
"Citi Field, NY",46653,@JerryBeach73 @r_joyce34 Susan dies of COVID19 after contracting it while picking up the wedding invitations,6/23/2015
"East Coast, FL",30026,"RT @BreakfastNews: The @WHO director-general @DrTedros has responded to Donald Trump halting US funding for the body.

""This is a time for…",1/23/2017
"Edmond, OK",64481,"RT @IngrahamAngle: Hawley unveils initiative to rehire workers laid off during coronavirus crisis, bolster domestic production | TheHill ht…",12/5/2016
"Alabama, USA",368557,"RT @LunaLuvgood2020: The US is 4% of the world's population.

The US has 30% of the world's coronavirus  cases.

Any one else see a problem…",6/14/2016
"Georgia, USA",40939,RT @CoachDanLanning: #SocialDistancing https://t.co/0RVMQHMpW1,8/30/2016
"Olympia, WA",130175,RT @AaronMesh: A state report indicates Gov. Kate Brown is preparing to mobilize the Oregon National Guard to help distribute personal prot…,4/22/2010
"Baltimore, MD",38186,"@Styx666Official Does it matter now? 

We have 216k confirmed cases with 5k dead

If the death toll is actually 0.5… https://t.co/3dQs2uffGr",4/30/2012
"Wisconsin, USA #Resist",158073,"RT @WI_Resistance: Also, @speakervos and @wisgop forced hundreds of thousands to go out and vote in person rather than postponing like ever…",11/11/2012
"Georgia, USA",587403,"RT @RedTRaccoon: My brother went to Iraq during the invasion and right before I was to leave on my tour, he gave me this piece of advice.…",5/8/2012
"The Woodlands, Texas",13206,iPads Are Crucial Health Care Tools in Combating Covid-19 | @WIRED https://t.co/wHvuXMz0Kz https://t.co/JS4BfhRVM8,11/2/2008
"Little Rock, AR",33858,"I sure hope so, Cyrus. Hangin’ in there for now. Peeps used to have a little bit of land, shit, we’ve almost got mo… https://t.co/9vLx0xXlIW",8/13/2015
"Worse, Wisconsin",57684,"RT @soapachu: Fear not everyone, Pat Robertson has worked out what caused the Coronavirus; oral sex! With women! Which they didn't have whe…",11/22/2010
"Orlando, FL",10284,"RT @rakeshsatyal: Not enough people are stating this plainly: If the current administration weren't so evil and self-serving, the pandemic…",1/11/2012
"Baltimore, MD",2081,Mail delivered Sunday after delays in Dundalk https://t.co/W4pkelA6uZ,3/10/2009
"Las Vegas, NV",1820,RT @mhdksafa: If you’re asking why is the COVID-19 rate so low in germany and high in your country. Is because their president used to be a…,10/3/2011
"New Hampshire, USA",84993,"RT @JohnJHarwood: credibility = zero

unmitigated BS",8/16/2014
"N.W. New York, USA",8262,"RT @OANN: Australian Scientists Find Ivermectin Kills COVID-19
https://t.co/QFLkvIbCiq #OANN https://t.co/2poRdFUgvz",9/13/2013
"Long Island, NY",18365,Watching right now #StayHome #COVID19 #StayAtHomeAndStaySafe https://t.co/aN8GWi4tD7,4/25/2009
"Massachusetts, USA",13866,"RT @johnlegend: ""Kushner has succeeded at exactly three things in his life. He was born to the right parents, married well and learned how…",8/5/2010
"Ridgewood, NY",31,"Visitation, Parenting Time and Child Custody Issues During COVID-19 https://t.co/vr2MpJqeCU https://t.co/GgyyzeYoub",4/3/2015
"New Jersey, USA",241837,RT @sydrasmith: @ChidiNwatu @realDonaldTrump And this time there’s a paper trail. https://t.co/YJPSKdqRt6,9/30/2015
"Maryland, USA",557055,"RT @weijia: There was no widespread testing then, and there is no widespread testing now. That’s why the President did not have an answer t…",12/26/2012
"Olathe, KS",106138,RT @amadril: Nearly 70 Dead in 'Horrific' Outbreak at Veterans Home https://t.co/xLyjLr4uzo,11/25/2008
"New York, NY",2835,Great replies to this. https://t.co/73ZmyuMxDr,9/14/2009
"Maryland, USA",241429,RT @JDiamond1: The President has been at the podium for about 40 minutes. Many of his remarks feel more like something he would say at a ca…,6/1/2011
"Pioneer, CA",0,RT @TheRickWilson: The COVID Hunger Games https://t.co/DG2LTYbeEI,5/30/2009
"Charlottesville, VA",148365,RT @AmyMcGrathKY: More excuses from the Senate majority leader about why he didn't take this threat seriously and move to mitigate this pan…,1/22/2012
"Somewhere, MA",72013,"RT @tribelaw: We have nearly a million Covid-19 cases, roughly 1/3 the world total. But our population of 300 million is just 1/30th the wo…",7/30/2009
"Idaho, USA",23468,RT @atensnut: 🇺🇸🇺🇸🇺🇸Proud Americans. God bless you.,1/20/2017
"Charleston, SC",3182,Michelle Galván celebra su baby show de manera virtual por el Coronavirus https://t.co/fvmmb1M6TB vía @heavysan,6/4/2010
"Junction City, KS",1430,@bigrinSD @socalsports1984 @ClayTravis So we are back to tru.p didnt act fast enough. I remember when he suspended… https://t.co/cW7SDwo2NF,12/28/2016
"Massachusetts, USA",24676,"RT @STabbytosavit: Bahahaha @realDonaldTrump it doesn't matter who you were talking to, what matters is what an effing joke you made out of…",5/7/2009
"Michigan, USA",50818,RT @michelleinbklyn: https://t.co/VYythYq9H8,7/6/2010
"Las Vegas, NV",151,RT @MarketWatch: European stocks climb on hopes over coronavirus drug treatment https://t.co/Mdsnl8b6ct,4/14/2009
"St Louis, MO",23537,tf you mean am i taking summer classes i havent even touched my spring classes since before lockdown NO LMAO,4/19/2015
